1971,"hoy, a'lobush! - dedi eshikni qiya ochib. - a'lobush-uvv!"
562,nazira so'nggi gapni eshitmadi.
3278,"shunday qilmasang, u dunyo bu dunyo rozi bo'lmasman, qo'llarim mana shunday... yoqangda ketadi."
2466,"hatto, bek ham hayron bo'ldi avvali."
3306,ovsinim bardammilar? - yuribmiz tuproqdan tashqari! - deydi naim sartarosh yo'lida davom etib.
37,otasi yetishtirolmagan qovunlarni yetishtiribdi.
1862,shifer tomli uy oldida zil turibdi.
3202,mahfuza indamadi.
1168,-xudo o'zing kechir! kechir mani xudo!
2336,endi ko'nikib qoldi. sarsonboy ota endi uni bog'lamaydi ham.
2969,- bechorani unaqa demang.
1739,"- iye, hozir yili esimda qoptimi, uka? o'sha bosmachilarni qiyratib yurgan paytlarimizda edida."
2511,shofyor yigit magnitofon tugmachasini bosib qo'ydi.
721,qanday bo'lib ketgan ekan? qanday ko'rishar ekan?
3365,g
973,manzilga yetmasimizdan qorong'i tushdi.
1270,"ha, aytganday, yangi gazeta olib chiqdim, talabgorlar bo'lsa, marhamat."
3177,"- ertaga uyga chaqirib, o'zimiz o'tirishsak! abduqodir javob bermadi."
1404,berasizmi?
2035,"- u ko'zini qisib kuldi. - kelmagan bo'lsalar, xafa bo'lmang... mana!"
2775,- oyi! oyi!
1398,"ba'zan ish bilan, ba'zan majlislar bilan, gohida ulfatchilik bilan uyga kech qaytardim."
3326,"uni mahkam siqdi-da, ayolga qaradi."
1158,xadicha
2722,-menmi?
2482,boyagi biletingiz eskirdi. yangi bilet oling.
2745,"paytavani qalin o'ragan ekanman, piymamni yechguncha qiynalib ketdim."
2000,bu - haqiqat!.. shu holda-chi?.. - gulshoda biroz o'ylanib qoldi - unda qanday nafim bor?
269,"qadamini sekinlatib, tumshug'ini choyxona tomiga tutdi."
2337,yordam bering. shu yilcha qoldiring. o'zimiz buzib beramiz keyin.
3030,imtihonlar yaqinlashib qolgan edi.
816,- siz kimsiz? - manzura saidning ahvoliga parvo ham qilmay notanish kimsaga murojaat qildi.
2505,"uyda o'tirib bo'larmidi. kampirning o'ziga ish yetmaydi-yu, u nima qiladi?"
2837,"xadichani vahm bosdi, kim sotdi ekan uni? kim ko'ribdi yarim tunda eri kelib ketganin?"
564,"biram sevindim, biram sevindim."
130,-iya!
1224,-avto... avtomobilchi tolibjon-da? -so'radi nihoyat.
1002,"- jon xola, komissiya bor."
1587,o'zingizmisiz? - shunday dediyu oyimni quchoqlab oldi.
3376,p
427,"kimdir orqasidan kelib, quchoqlab oldi. yana kimdir qo'liga tashlandi."
723,o'zida bo'lsa tushunishi kerak.
1393,- nima qildingiz? - dedim alam bilan.
2731,- chiroqni yoqiq tashlab ketibmiz-da? - dedi yusuf.
452,enasining o'limi haqida xabar yusufga ikki haftadan keyin keldi.
968,u adashgan edi.
2896,sabrdan boshqa iloji bormidi.
3313,o'zi tomondan manzirat faqat shu edi.
3008,"ketish kerak, tezroq ketish kerak!"
2008,"bu ham yetmaganday, bittasini o'zim qirqib o'lchov qilib berdim."
3320,- mayli bo'lmasa. xolangiz ham o'sha yoqda.
515,ochofat o'lgur kolxozning nechchi ming pulini yo'q qilib yuborgan ekan.
2459,-siz s'ezddan kelyapsizmi? - so'radi keksa arxivchi.
3385,y
2242,esankirab qolgan mehmonga bidir-bidir qilib gapira boshladi:
2901,"- bu kunlar ham o'tadi, gulshodaxon, sabr qiling, - dedi-yu odil akaning o'zi o'ylanib qoldi."
2323,shuniychun senga keldim. bir narsa qilish kerak. endi qayoqqa boramiz.
3191,"zaynobiddin omonov suvni stol ustiga qo'yib, xotini aytganini qildi."
3264,"- qarzim, - dedi u negadir qovog'ini solib. hech nimaga tushunmadim. -mendan qarzingiz yo'q."
2497,- ravshanbekka o'zim uchrashib kelaman...
2397,shunda undan allaqanday qo'lansa hid kelayotganini payqadim.
2367,tezroq sog'ayib keting. daxlizga chiqqanda bo'lim boshlig'iga tayinladi:
2737,"siz ham meni tushunmadingizmi? siz ham menga ishonmayapsizmi? aybim shuki, bilmay qoldim."
1177,sh a v k a t. odamda hamma narsa yaxshi bo'lishi kerak. p a r p i.
1693,"onam menga achinib qarab qo'yadi-yu, to'xtamaydi."
886,-ular o'lganmi?
2540,"- kasal tuzalaman desa, tabib o'z oyog'i bilan keladi-da."
1476,"- o'tirsang-chi, bolam."
2489,-mana!
156,"ikki qo'lini beliga tirab, eshik oldida qumri otin turardi."
2636,valiga maza!
3256,endi nima qilsin?
2528,chiroyli ekan! shunda uch-to'rtta qiz baravariga:
2564,-bo'pti. -bu axir pastlik-ku! hammamiz birdaniga boshimizni ko'tardik.
678,"qolganlar orqaroqda turishdi. - norboy, uka! mana, oila ham qurding."
49,toy onamni oldingi o'rindiqqa o'tqizdi. yarim soatcha aylantirib keldi.
3383,v
2305,"hatto so'rashmay, ko'zini chetga oldi. sud raisi chaqirmaguncha u tomonga qaramadi, qaray olmadi."
2269,"ko'ylagingizni yechib, manavi xalatni kiyib oling. mendan uyalmassiz?"
663,"odil aka qo'lini artib, ayvon tomon uzoqlashishi bilan oygul so'radi:"
1632,"keyin onamning xonasiga kirdi-yu, to'satdan o'zini yerga otdi. - oyi! - dedi xirillab. - oyi-i-i!"
542,"- nimani? - dedi oyim oyog'iga emas, menga qarab."
1764,hukmni bekor qilishadi. meni aytdi dersiz.
2147,ichgan bo'lsam bir qoshiq suvda cho'kib o'lay!
1488,"mayli, shungayam jazo kerak bo'lsa, jazosini tortdi."
2106,kimdir yo'lakda gursillatib yer tepindi.
584,"u shoshib egildi, o'qlar endi beli ustidan vizillab o'ta boshladi."
243,-o'g'ri ham tanlab o'g'irlaydi. -shunaqa ekan. uyga qaytdim.
3071,"- bo'lmasa, manavini ham qo'shvoling, - dedi u oxirgi yuz so'mligini uzatib."
3007,yuragi qinidan chiqib ketay dedi. -hakim?!
788,yomon bo'ldi. o'sha kundan boshlab sepkilli xola oyim bilan yuzko'rmas bo'lib ketdi.
3329,"hovlining o'rtasida bir to'xtab, joyiga qaytdi, g'inshib o'tirdi. shu alpozda anchagina vaqt o'tdi."
2549,"mehmon amri vojib. chodakdan o'tgandan so'ng, yo'lning chap tomoni salqin edi."
566,"ko'ktoy sal qimirlagandek bo'ldi. -hozir men dori olib chiqaman, seni davolaymiz. attang, attang!"
406,ivan... - dedi ayol ma'yus kulimsirab. -mening ham o'g'lim bor...
1639,ikkalamiz gaplashib yotamiz. xo'pmi?
2043,"borishga qiynalamiz. iloji bo'lsa o'zlari kelsalar, deyishayapti."
2490,"-o'qimaysanmi?! - dedi shahodat xola yengidan tortib. - adhamdan ekanmi? -ha, ha, o'g'lingizdan.."
719,- oqsoqol labining miyig'ida jilmaydi.
3048,u yerda faqat erkaklar. ayollar deyarli ishlamasakan. yosh-yosh yigitlar ko'pi.
2702,"u shunday dedi-yu, it qo'ldan chiqib ketayotganiga ko'nglida achindi."
794,-yaxshi odam edi! - qichqirdi orqa qatordan yana kimdir.
2382,o'sha kuni yana bir sirni bilib oldim. bir haftadan keyin oy to'ladi.
2817,"chor zarbni chaladi, tanavorni... yana nimalarnidir chaladi."
2909,"otilib hovliga kirdim. oyim cho'nqayib o'tirib, echki sog'ayotgan ekan."
1349,uzoq ketishga qo'rqdi.
1007,"- bo'lmasa, iltimos, o'n so'm berib turing. uydan bepul chiqib ketganman."
1347,tovoqni nari surdim. - yemayman! oyim tovoqni yana men tomonga surdi.
1653,"- ma, ishkalad yeysanmi?"
1361,"seniki shu pul, - obidjon aka tugunni qaytarib, xotinini yuzidan o'pib qo'ydi."
646,"bo'ldi, shu bilan ish tamom."
3240,-keldilar! - dedi suyunib norboy aka. - o'zingiz oching. xursand bo'ladilar.
1753,"- yusuf o'zini xuddi tok urgandek sezib, garangsib qoldi."
2585,"- assalomu alaykum, oyijon."
2926,ustozlar taklifi va qistovi bilan o'sha yerda o'qituvchi bo'lib qoldim. ilm qilmoqchi edim.
846,sizni kutib o'tirib uxlab qolibman.
868,...o'shandan keyin bironta bayram shunchalik esimda qolgani yo'q.
1618,"- dadasini topsa, yangisini hadya qilarmish. bilmadim, dadasini topdimi-yo'qmi?"
52,sho'tta turasiz.
1166,bu kishi o'rtog'im - nurilla. ikkalamiz ham fizikmiz.
2335,biz seni urmaymiz! - dedi yigitlardan biri.
2774,sevgining ko'zi ko'r deyishadi. to'g'ri ekan.
2421,"abdujalil aka, bu yoqqa qarang!"
2732,"ko'p o'tmay, bozorning odatdagi tashvishi, to'poloni boshlandi."
2603,"-sizga sovg'a, - dedi valijon. -menga? - hayron bo'ldi shahodat xola. -sizga."
1906,"u nosni yana otib oladi-da, afsonasini boshlaydi:"
755,- unutib yubordingiz deb o'ylovdim. -uchrashmadingizmi? - so'radi zumrad.
495,- qo'rqyapsizmi?
2662,"- bu... bu nima deganingiz, eshonoyi? - dedi rangi o'chib."
1567,"oyi, boshqa iloji yo'qmidi? nima qilgan ekan o'zi? -ovoz kasali ko'pincha shamollashdan boshlanadi."
1731,oltin medal oldi. -juda yaxshi.
190,"- tinchlikmi, manzuraxon? nima qildi unga, birov uribdimi? - ichgan, sunnat aka, ichgan!"
1747,-uyatsiz!
2734,"qolaversa, bunaqa tutum o'tgan zamonlarda qolib ketgan."
344,hammamikan? bugundan boshlab qishloqning yana bir uyida tinchlik yo'qoldi.
3341,- kimga deysiz? - vrachga! - klava xola mening soddaligimdan afsuslangandek ohista bosh chayqadi.
15,"shaharning yaxshi yemakxonalaridan biriga boshlab borib, somsayu kabob bilan siyladi."
2633,unga qarshi naq ikkitasi maydonga tushgandi.
368,quralay ko'zlari suzilib ketdi.
1803,kozimning dadasi engashib do'ng bo'lib turgan bir narsa ustiga o'tirdi. ko'ktoy hidladi.
1972,bilaman.
1540,- apam yana o'sha gapni gapiryapti-da. yulduz opa yerga qaradi.
2067,"ayniqsa, enamning yoshida o'lim aza emas, to'y."
1675,tashlab ketib bo'lmaydi.
2706,"yo'q, uning yig'layotganini keyin payqadim. - voy imonsizlar!"
1362,birinchi o'qituvchilardan emish.
101,uning nima demoqchi ekanligiga tushundim. -odamlar har xil bo'ladi.
2821,tormozni bosdi.
353,"qani, manga qara-chi? manga qara! solihabibi kelinning boshidan, yuzlaridan silab, o'ziga qaratdi."
1783,chiroyli kiyindim.
2140,tomosha ko'rish uchun asta mo'raladim.
1286,"- o'zi shunaqa bo'ladi, - dedi ammam yerdan bosh ko'tarmay. - ot topadi, eshak yeydi!"
533,bir sakrab qozonning orqa tomoniga
3037,"- mana o'zingiz, nima deb o'ylaysiz, yusuf aka? yusuf dabdurustdan biron jo'yali javob aytolmadi."
1947,"a, opa? -eringizning umri qancha bilmayman."
3291,savri xola indamadi. bitta-bitta qadam bosib uyi tomon yurib ketdi.
54,-nima deydi ovchi? - so'radi chol yalpizni mo'yloviga surkab.
3133,ko'p o'tmay yo'lga tushdik. go'zal kuyov bilan meni qo'ltiqlab olgan edi.
333,"biroq u idoraga emas, sinfimizga yetaklab kirdi."
1855,oyimning vafotidan ko'p o'tmay o'gay otam uylandi.
1905,ilmiy-tekshirish institutida ishlaymiz.
2736,- avval avtobusga osilib yurishni eplasin!
635,-picha olataroq bo'lib qoldi.
1075,ma! u ko'ktoyning oldiga bir narsa tashladi. bu yarim buxanka non edi.
2302,bog'ning darvozasi oldida bir erkak kishi butilkadan pivo ichib turgan ekan.
1958,"yarim tunga qadar yig'i hech tinmadi, shunda donka ko'zi chaqnab:. -to'xtang, - dedi."
2749,"bu - ikkinchisi. nihoyat, bayram degani shuki, men onamga ergashib albatta tog'amnikiga boraman."
2834,bu voqeaga ancha bo'ldi.
2108,"salom, nurmat aka. ha, shu yerda o'tiribdilar."
454,"- bo'lmasa, o'ynay qolinglar. birpasdan keyin zebi xola bizni yana chaqirdi."
2990,"ularning bittasi ruqiya opa, ikkinchisi esa, mavjudaxon edi."
2666,"qaysi to'yga borsa, ko'ylagining yengiga popukqand, monpasi, jiyda solib kelardi."
1006,telpak masalasi ham shundoq.
435,"ammo qaytgandan keyin safar, yo'l xarajatlari hujjatlarini o'zi buxgalteriyaga topshirishi kerak."
1686,"bolaginam o'lib qoladi! - vahima qilmang, poshsha, dardni bergan xudo, davosiniyam beradi."
228,mehmon indamadi.
2550,muhabbat firoqni taqozo qilsa kerak.
2374,yog' mazasi kelib turadi.
2982,shu ham tashvishmi?
2590,"dadam negadir ko'zini yashirdi:. - odamzodning ahvoli shu ekan-da, - dedi xo'rsinib."
957,og'ir jangda beglar begi g'olib chiqdi. asirlar zanjirband bo'ldi.
2162,u qizning kimligi bilan qiziqmadi ham. onasining o'zi so'radi.
